@prefix data:  <http://example.com/> .
@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

data:1  rdf:type           data:buku ;
        data:halaman       "128" ;
        data:harga         "68.000" ;
        data:id            "1" ;
        data:isbn          "978-602-6744-22-7" ;
        data:judul         "60 Jam Pintar Baca Tanpa Di Eja" ;
        data:kategori      "Anak" ;
        data:penerbit      "Pustaka Ilham" ;
        data:penulis       "Yuliana Yusuf" ;
        data:stok          "1249" ;
        data:tahun_terbit  "2018" ;
        data:urlFoto       "https://www.bukukita.com/babacms/displaybuku/110675_f.jpg" .

data:2  rdf:type           data:buku ;
        data:halaman       "96" ;
        data:harga         "27.500" ;
        data:id            "2" ;
        data:isbn          "978-602-525-098-9" ;
        data:judul         "Permulaan Belajar Berhitung Untuk TK 4-6 Tahun" ;
        data:kategori      "Anak" ;
        data:penerbit      "Pustaka Ilham" ;
        data:penulis       "Aida Hanifah" ;
        data:stok          "2" ;
        data:tahun_terbit  "2019" ;
        data:urlFoto       "https://cdn.gramedia.com/uploads/items/9786025250989_Permulaan-Belajar-Berhitung-Untuk-TK-4-6-Tahun__w600_hauto.jpg" .

data:3  rdf:type           data:buku ;
        data:halaman       "64" ;
        data:harga         "48.000" ;
        data:id            "3" ;
        data:isbn          "978-602-5585-19-3" ;
        data:judul         "The Stories of Nabi & Rasul Allah Vol.02" ;
        data:kategori      "Anak" ;
        data:penerbit      "Genta Group Production" ;
        data:penulis       "Muhammad Ihsan" ;
        data:stok          "16" ;
        data:tahun_terbit  "2018" ;
        data:urlFoto       "https://www.bukukita.com/babacms/displaybuku/106310_f.jpg" .

data:4  rdf:type           data:buku ;
        data:halaman       "264" ;
        data:harga         "68.000" ;
        data:id            "4" ;
        data:isbn          "978-602-6991-77-5" ;
        data:judul         "BACAIN - Belajar Membaca Sambil Bermain" ;
        data:kategori      "Anak" ;
        data:penerbit      "Genta Group Production" ;
        data:penulis       "Lutfiya Cahyani" ;
        data:stok          "17" ;
        data:tahun_terbit  "2018" ;
        data:urlFoto       "https://cf.shopee.co.id/file/b1eeb1022093a05c9ad8369f41bf60a4_tn" .

data:5  rdf:type           data:buku ;
        data:halaman       "48" ;
        data:harga         "36.000" ;
        data:id            "5" ;
        data:isbn          "978-602-615-226-8" ;
        data:judul         "MEWARNAI PUTRI CANTIK SAMBIL BELAJAR" ;
        data:kategori      "Anak" ;
        data:penerbit      "Pustaka Ilham" ;
        data:penulis       "Aida Hanifah" ;
